CLAVE,MARCA,SUBMARCA,LINEA,DESCRIPCION,DESCRIPCION_LEGIBLE,AÑO,tipo,CLAVE_QUALITAS,CLAVE_HDI,CLAVE_AFIRME,CLAVE_GNP,CLAVE_MAPFRE,CLAVE_ZURICH,CLAVE_AXA,CLAVE_SURA,CLAVE_BANORTE,CLAVE_POTOSI,CLAVE_ANA,CLAVE_AXA_EMMA,CLAVE_ATLAS,CLAVE_GRAL_SEGUROS,CLAVE_ALLIANZ
01010100701,ACURA,ACURA,ILX,ILX PREMIUM L4 IMO AUT 4 ABS CA CE PIEL CD CQ CB,ILX PREMIUM · L4 Aut 4p,2014,AUTO,8514,2073281,100002,AUTAC08012014,100010003,001G6016,ACA001001,,AC008,120-007-02-2014,G0010008,10817,10066,10872,AACIL0011E
01010100701,ACURA,ACURA,ILX,ILX PREMIUM L4 IMO AUT 4 ABS CA CE PIEL CD CQ CB,ILX PREMIUM · L4 Aut 4p,2015,AUTO,8514,2083395,100002,AUTAC08012015,100010003,001G6016,ACA001001,,AC008,120-007-02-2015,G0010008,10817,10066,10872,AACIL0011F
01010100702,ACURA,ACURA,ILX,ILX TECH L4 IMO AUT 4 ABS CA CE PIEL CD CQ CB,ILX TECH · L4 Aut 4p,2013,AUTO,8514,2078655,100003,AUTAC08022013,100010004,001G6017,ACA001002,,AC009,120-007-01-2013,G0010007,10818,10067,10787,AACIL0021D
01010100702,ACURA,ACURA,ILX,ILX TECH L4 IMO AUT 4 ABS CA CE PIEL CD CQ CB,ILX TECH · L4 Aut 4p,2014,AUTO,3966,2073280,100003,AUTAC08022014,100010004,001G6017,ACA001002,,AC009,120-007-01-2014,G0010007,10818,10067,10787,AACIL0021E
01010100702,ACURA,ACURA,ILX,ILX TECH L4 IMO AUT 4 ABS CA CE PIEL CD CQ CB,ILX TECH · L4 Aut 4p,2015,AUTO,8514,2083396,100003,AUTAC08022015,100010004,001G6017,ACA001002,,AC009,120-007-01-2015,G0010007,10818,10067,10787,AACIL0021F
01010100702,ACURA,ACURA,ILX,ILX TECH L4 IMO AUT 4 ABS CA CE PIEL CD CQ CB,ILX TECH · L4 Aut 4p · CD,2016,AUTO,378,2089456,100004,AUTAC08042016,100010004,001G6017,ACA001002,,AC009,120-007-01-2016,G0010007,10832,10067,10787,AACIL0041G
01010100702,ACURA,ACURA,ILX,ILX TECH L4 IMO AUT 4 ABS CA CE PIEL CD CQ CB,ILX TECH · L4 Aut 4p · CD,2017,AUTO,378,2085168,100004,AUTAC08042017,100010004,001G6017,ACA001002,,AC009,120-007-01-2017,G0010007,10832,10067,71100617,AACIL0041H
01010100702,ACURA,ACURA,ILX,ILX TECH L4 IMO AUT 4 ABS CA CE PIEL CD CQ CB,ILX TECH · L4 Aut 4p · CD,2018,AUTO,378,2084861,100004,AUTAC08042018,100010004,001G6017,ACA001002,,AC009,120-007-04-2018,G0010007,10832,10067,71100617,AACIL0041J
01010100702,ACURA,ACURA,ILX,ILX TECH L4 IMO AUT 4 ABS CA CE PIEL CD CQ CB,ILX TECH · L4 Aut 4p · CD,2019,AUTO,378,2087584,100004,AUTAC08042019,100010004,001G6017,ACA001002,,AC009,120-007-03-2019,G0010007,10832,10067,71100617,AACIL0041K
01010100702,ACURA,ACURA,ILX,ILX TECH L4 IMO AUT 4 ABS CA CE PIEL CD CQ CB,ILX TECH · L4 Aut 4p · CD,2020,AUTO,378,2006615,100004,AUTAC08042020,100010004,001G6017,ACA001002,,AC009,120-007-04-2020,G0010007,10832,10067,71100617,AACIL0041L
01010101101,ACURA,ACURA,INTEGRA,INTEGRA A-SPEC L4 FSI AUT 4 ABS CA CE PIEL SM CQ CB,INTEGRA A-SPEC · L4 Aut 4p,2023,AUTO,20011,2169128,115100,AUTAC13012023,100110001,001G6029,ACA009001,M0010012,AC030,120-011-01-2023,G0010024,10841,19031,,AACIN0011P
01010101101,ACURA,ACURA,INTEGRA,INTEGRA A-SPEC L4 FSI AUT 4 ABS CA CE PIEL SM CQ CB,INTEGRA A-SPEC · L4 Aut 4p · c/Quemac.,2024,AUTO,20011,2337679,115100,AUTAC13012024,100110001,001G6029,ACA009001,M0010012,AC030,120-011-01-2024,G0010024,10841,19031,,AACIN0011R
01010101101,ACURA,ACURA,INTEGRA,INTEGRA A-SPEC L4 FSI AUT 4 ABS CA CE PIEL SM CQ CB,INTEGRA A-SPEC · L4 Aut 4p · c/Quemac.,2025,AUTO,20011,2365561,115412,AUTAC13012025,100110001,001G6029,ACA009001,M0010012,AC030,120-011-01-2025,G0010024,10841,19031,,AACIN0011S
01010101101,ACURA,ACURA,INTEGRA,INTEGRA A-SPEC L4 FSI AUT 4 ABS CA CE PIEL SM CQ CB,INTEGRA A-SPEC · L4 Aut 4p · c/Quemac.,2026,AUTO,20011,2394792,115100,AUTAC13012026,100110002,001G6029,ACA009001,M0010012,AC030,,G0010024,10841,19031,,AACIN0011T
01010101102,ACURA,ACURA,INTEGRA,INTEGRA TYPE-S L4 FSI STD 4 ABS CA CE PIEL SM SQ CB,INTEGRA TYPE-S · L4 Std 4p · s/Quemac.,2024,AUTO,20012,2340614,115412,AUTAC13022024,100110002,001G0004,ACA009002,M0010013,AC032,120-011-01-2024,G0010025,10841,19031,,AACIN0021R
01010101102,ACURA,ACURA,INTEGRA,INTEGRA TYPE-S L4 FSI STD 4 ABS CA CE PIEL SM SQ CB,INTEGRA TYPE-S · L4 Std 4p · s/Quemac.,2025,AUTO,20012,2365562,115412,AUTAC13022025,100110002,001G0004,ACA009002,M0010013,AC032,120-011-02-2025,G0010025,10842,19031,,AACIN0021S
01010101102,ACURA,ACURA,INTEGRA,INTEGRA TYPE-S L4 FSI STD 4 ABS CA CE PIEL SM SQ CB,INTEGRA TYPE-S · L4 Std 4p · s/Quemac.,2026,AUTO,20012,2394793,115412,AUTAC13022026,100110002,001G0004,ACA009002,M0010013,AC032,,G0010025,10842,19031,,AACIN0021T
01010100303,ACURA,ACURA,MDX,MDX A-SPEC V6 FSI AUT 5 ABS CA CE PIEL SM CQ CB,MDX A-SPEC · V6 FSI Aut 5p,2019,AUTO,20004,2082963,100006,AUTAC03042019,100020008,001M0004,ACA002005,,AC022,120-001-09-2019,G0010013,10829,17759,71102720,CACMD0051K
01010100303,ACURA,ACURA,MDX,MDX A-SPEC V6 FSI AUT 5 ABS CA CE PIEL SM CQ CB,MDX A-SPEC · V6 FSI Aut 5p,2020,AUTO,20004,2003928,100006,AUTAC03042020,100020008,001M0005,ACA002005,,AC022,120-001-09-2020,G0010013,10829,17759,71102720,CACMD0051L
01010100304,ACURA,ACURA,MDX,MDX ADVANCE V6 FSI AUT 5 ABS CA CE PIEL SM CQ CB,MDX ADVANCE · V6 Aut 5p,2022,AUTO,20007,2168639,100005,AUTAC03052022,100020007,001M0006,ACA002007,,AC027,120-001-07-2022,G0010019,10836,18697,71190414,CACMD0061N
01010100304,ACURA,ACURA,MDX,MDX ADVANCE V6 FSI AUT 5 ABS CA CE PIEL SM CQ CB,MDX ADVANCE · V6 Aut 5p,2023,AUTO,20007,2169361,100005,AUTAC03052023,100020007,001M0006,ACA002007,,AC027,120-001-07-2023,G0010019,10836,18697,71190414,CACMD0061P
01010100304,ACURA,ACURA,MDX,MDX ADVANCE V6 FSI AUT 5 ABS CA CE PIEL SM CQ CB,MDX ADVANCE · V6 Aut 5p,2024,AUTO,20007,2337677,100005,AUTAC03052024,100020007,001M0006,ACA002007,,AC027,120-001-07-2024,G0010019,10836,18697,71190414,CACMD0061R
01010100304,ACURA,ACURA,MDX,MDX ADVANCE V6 FSI AUT 5 ABS CA CE PIEL SM CQ CB,MDX ADVANCE · V6 Aut 5p,2025,AUTO,20007,2377488,100005,AUTAC03052025,100020007,001M0006,ACA002007,,AC027,120-001-07-2025,G0010019,10836,18697,71190414,CACMD0061S
01010100304,ACURA,ACURA,MDX,MDX ADVANCE V6 FSI AUT 5 ABS CA CE PIEL SM CQ CB,MDX ADVANCE · V6 Aut 5p,2026,AUTO,20007,2391920,100005,AUTAC03052026,100020007,001M0006,ACA002007,,AC027,,,10836,18697,71190638,CACMD0061T
01010100301,ACURA,ACURA,MDX,MDX SUV AUT CA MDX SUV V6 IPC AUT 4 ABS CA CE PIEL CD CQ CB,MDX SUV AUT CA MDX SUV · V6 Aut 4p,2007,AUTO,9790,2058467,100009,AUTAC03012007,100020001,001M0001,ACA002001,,AC001,120-001-02-2007,G0010002,10805,9352,9027,CACMD00207
01010100301,ACURA,ACURA,MDX,MDX SUV AUT CA MDX SUV V6 IPC AUT 4 ABS CA CE PIEL CD CQ CB,MDX SUV AUT CA MDX SUV · V6 Aut 4p,2008,AUTO,9790,2058462,100009,AUTAC03012008,100020004,001M0001,ACA002001,,AC001,120-001-02-2008,G0010002,10805,9352,9027,CACMD00208
01010100301,ACURA,ACURA,MDX,MDX SUV AUT CA MDX SUV V6 IPC AUT 4 ABS CA CE PIEL CD CQ CB,MDX SUV AUT CA MDX SUV · V6 Aut 4p,2009,AUTO,9790,2058459,100009,AUTAC03012009,100020004,001M0001,ACA002001,,AC001,120-001-02-2009,G0010002,10808,9352,9027,CACMD00209
01010100301,ACURA,ACURA,MDX,MDX SUV AUT CA MDX SUV V6 IPC AUT 4 ABS CA CE PIEL CD CQ CB,MDX SUV AUT CA MDX SUV · V6 Aut 4p,2010,AUTO,9790,2078632,100009,AUTAC03012010,100020004,001M0001,ACA002001,,AC001,120-001-02-2010,G0010002,10808,9352,9027,CACMD0021A
01010100301,ACURA,ACURA,MDX,MDX SUV AUT CA MDX SUV V6 IPC AUT 4 ABS CA CE PIEL CD CQ CB,MDX SUV AUT CA MDX SUV · V6 Aut 4p,2011,AUTO,9790,2078639,100009,AUTAC03012011,100020004,001M0001,ACA002001,,AC001,120-001-01-2011,G0010002,10808,9352,9027,CACMD0021B
01010100301,ACURA,ACURA,MDX,MDX SUV AUT CA MDX SUV V6 IPC AUT 4 ABS CA CE PIEL CD CQ CB,MDX SUV AUT CA MDX SUV · V6 Aut 4p,2012,AUTO,9790,2078648,100009,AUTAC03012012,100020006,001M0001,ACA002001,,AC001,120-001-01-2012,G0010002,10808,9352,9027,CACMD0021C
01010100301,ACURA,ACURA,MDX,MDX SUV AUT CA MDX SUV V6 IPC AUT 4 ABS CA CE PIEL CD CQ CB,MDX SUV AUT CA MDX SUV · V6 Aut 4p,2013,AUTO,9790,2078656,100009,AUTAC03012013,100020005,001M0001,ACA002001,,AC001,120-001-01-2013,G0010002,10808,9352,9027,CACMD0021D
01010100301,ACURA,ACURA,MDX,MDX SUV AUT CA MDX SUV V6 IPC AUT 4 ABS CA CE PIEL CD CQ CB,MDX SUV AUT CA MDX SUV · V6 Aut 4p,2014,AUTO,9790,2079433,100008,AUTAC03012014,100020002,001M0003,ACA002001,,AC001,120-001-01-2014,G0010002,10808,9352,9027,CACMD0041E
01010100301,ACURA,ACURA,MDX,MDX SUV AUT CA MDX SUV V6 IPC AUT 4 ABS CA CE PIEL CD CQ CB,MDX SUV AUT CA MDX SUV · V6 Aut 4p,2015,AUTO,3969,2088205,100008,AUTAC03032015,100020002,001M0003,ACA002001,,AC001,120-001-07-2015,G0010002,10808,9352,71100179,CACMD0041F
01010100301,ACURA,ACURA,MDX,MDX SUV AUT CA MDX SUV V6 IPC AUT 4 ABS CA CE PIEL CD CQ CB,MDX SUV AUT CA MDX SUV · V6 Aut 4p,2016,AUTO,3969,2089395,100008,AUTAC03032016,100020002,001M0003,ACA002004,,AC001,120-001-01-2016,G0010002,10808,9352,71100179,CACMD0041G
01010100301,ACURA,ACURA,MDX,MDX SUV AUT CA MDX SUV V6 IPC AUT 4 ABS CA CE PIEL CD CQ CB,MDX SUV AUT CA MDX SUV · V6 Aut 4p,2017,AUTO,3969,2086397,100008,AUTAC03032017,100020002,001M0003,ACA002004,,AC001,120-001-01-2017,G0010002,10808,9352,71100179,CACMD0041H
01010100301,ACURA,ACURA,MDX,MDX SUV AUT CA MDX SUV V6 IPC AUT 4 ABS CA CE PIEL CD CQ CB,MDX SUV AUT CA MDX SUV · V6 Aut 4p,2018,AUTO,3969,2084863,100008,AUTAC03032018,100020002,001M0003,ACA002004,,AC001,120-001-01-2018,G0010002,10808,9352,71100179,CACMD0041J
01010100302,ACURA,ACURA,MDX,MDX TECH V6 IPC AUT 4 ABS CA CE PIEL CD CQ CB,MDX TECH · V6 Aut 4p,2014,AUTO,3968,2079432,100010,AUTAC03022014,100020003,001M0002,ACA002003,,AC021,120-001-06-2014,G0010013,10808,11253,9027,CACMD0031E
01010100302,ACURA,ACURA,MDX,MDX TECH V6 IPC AUT 4 ABS CA CE PIEL CD CQ CB,MDX TECH · V6 Iny.[?] Aut 4p · CD,2019,AUTO,20003,2082962,100010,AUTAC03022019,100020009,001M0004,ACA002003,,AC021,120-001-06-2019,G0010013,10830,17758,71102719,CACMD0031K
01010100302,ACURA,ACURA,MDX,MDX TECH V6 IPC AUT 4 ABS CA CE PIEL CD CQ CB,MDX TECH · V6 Iny.[?] Aut 4p · CD,2020,AUTO,20003,2003927,100010,AUTAC03022020,100020009,001M0004,ACA002006,,AC021,120-001-06-2020,G0010013,10830,17758,71102719,CACMD0031L
01010100305,ACURA,ACURA,MDX,MDX TYPE-S V6 FSI AUT 5 ABS CA CE PIEL SM CQ CB,MDX TYPE-S · V6 Aut 5p,2022,AUTO,20010,2168639,100011,AUTAC03062022,100020007,001M0006,ACA002007,,AC031,120-001-07-2022,G0010023,10836,18697,71190638,CACMD0071N
01010100305,ACURA,ACURA,MDX,MDX TYPE-S V6 FSI AUT 5 ABS CA CE PIEL SM CQ CB,MDX TYPE-S · V6 Aut 5p,2023,AUTO,20010,2169344,100011,AUTAC03062023,100020007,001M0007,ACA002007,,AC031,120-001-07-2023,G0010023,10836,18697,71190638,CACMD0071P
01010100305,ACURA,ACURA,MDX,MDX TYPE-S V6 FSI AUT 5 ABS CA CE PIEL SM CQ CB,MDX TYPE-S · V6 Aut 5p,2024,AUTO,20010,2337678,100011,AUTAC03062024,100020007,001M0007,ACA002007,,AC031,120-001-07-2024,G0010023,10836,18697,71190638,CACMD0071R
01010100305,ACURA,ACURA,MDX,MDX TYPE-S V6 FSI AUT 5 ABS CA CE PIEL SM CQ CB,MDX TYPE-S · V6 Aut 5p,2025,AUTO,20010,2377489,100005,AUTAC03062025,100020007,001M0006,ACA002007,,AC031,120-001-07-2025,G0010023,10836,18697,71190414,CACMD0071S
01010100305,ACURA,ACURA,MDX,MDX TYPE-S V6 FSI AUT 5 ABS CA CE PIEL SM CQ CB,MDX TYPE-S · V6 Aut 5p,2026,AUTO,20010,2391921,100011,AUTAC03062026,100020007,001M0006,ACA002007,,AC031,,,10836,18697,71190638,CACMD0071T
01010101001,ACURA,ACURA,NSX,NSX V6 TUR AUT 2 ABS CA CE PIEL SM SQ CB,NSX · V6 Aut 2p,2017,AUTO,3971,2084929,100012,AUTAC12012017,100030001,001G6023,ACA011002,,AC025,,,10824,12493,,AACNS0011H
01010101001,ACURA,ACURA,NSX,NSX V6 TUR AUT 2 ABS CA CE PIEL SM SQ CB,NSX · V6 Aut 2p,2018,AUTO,3971,,100012,AUTAC12012018,100030002,001G6023,ACA011002,,AC025,,,10824,12493,,AACNS0011J
01010101001,ACURA,ACURA,NSX,NSX V6 TUR AUT 2 ABS CA CE PIEL SM SQ CB,NSX · V6 Aut 2p,2019,AUTO,3971,,100012,AUTAC12012019,100030002,001G6023,ACA011003,,AC025,,,10824,12493,71102850,AACNS0011K
01010101001,ACURA,ACURA,NSX,NSX V6 TUR AUT 2 ABS CA CE PIEL SM SQ CB,NSX · V6 Aut 2p,2020,AUTO,3971,,,,,001G6023,ACA011005,,,,,10824,,,
01010101002,ACURA,ACURA,NSX,NSX EXCLUSIVE V6 TUR AUT 2 ABS CA CE PIEL SM SQ CB,NSX EXCLUSIVE · V6 Aut 2p,2017,AUTO,3971,2084929,100013,AUTAC12012017,100030003,001G6024,ACA011001,,AC026,,,10825,17699,,AACNS0021H
01010101002,ACURA,ACURA,NSX,NSX EXCLUSIVE V6 TUR AUT 2 ABS CA CE PIEL SM SQ CB,NSX EXCLUSIVE · V6 Aut 2p,2018,AUTO,3971,,100013,AUTAC12012018,100030003,001G6024,ACA011001,,AC026,,,10825,17699,,AACNS0021J
01010101002,ACURA,ACURA,NSX,NSX EXCLUSIVE V6 TUR AUT 2 ABS CA CE PIEL SM SQ CB,NSX EXCLUSIVE · V6 Aut 2p,2019,AUTO,3972,,100013,AUTAC12012019,100030003,001G6024,ACA011001,,AC026,,,10825,17699,71101907,AACNS0021K
01010101002,ACURA,ACURA,NSX,NSX EXCLUSIVE V6 TUR AUT 2 ABS CA CE PIEL SM SQ CB,NSX EXCLUSIVE · V6 Aut 2p,2020,AUTO,3972,,,,,001G6024,ACA011001,,,,,10825,,,
01010100401,ACURA,ACURA,RDX,RDX 2.3 L L4 IPC AUT 5 ABS CA CE PIEL CD CQ CB,RDX 2.3 L · L4 Aut 5p,2007,AUTO,9777,2058466,100016,AUTAC04012007,100040003,001L6001,ACA003002,,AC004,120-005-01-2007,G0010004,10804,9353,9418,CACRD00107
01010100401,ACURA,ACURA,RDX,RDX 2.3 L L4 IPC AUT 5 ABS CA CE PIEL CD CQ CB,RDX 2.3 L · L4 Aut 5p,2008,AUTO,9777,2058461,100016,AUTAC04012008,100040003,001L6001,ACA003002,,AC004,120-005-01-2008,G0010004,10804,9353,9418,CACRD00108
01010100401,ACURA,ACURA,RDX,RDX 2.3 L L4 IPC AUT 5 ABS CA CE PIEL CD CQ CB,RDX 2.3 L · L4 Aut 5p,2009,AUTO,9777,2058457,100016,AUTAC04012009,100040003,001L6001,ACA003002,,AC004,120-005-01-2009,G0010004,10804,9353,9418,CACRD00109
01010100401,ACURA,ACURA,RDX,RDX 2.3 L L4 IPC AUT 5 ABS CA CE PIEL CD CQ CB,RDX 2.3 L · L4 Aut 5p,2010,AUTO,9777,2078633,100016,AUTAC04012010,100040003,001L6001,ACA003002,,AC004,120-005-01-2010,G0010004,10804,9353,9418,CACRD0011A
01010100401,ACURA,ACURA,RDX,RDX 2.3 L L4 IPC AUT 5 ABS CA CE PIEL CD CQ CB,RDX 2.3 L · L4 Aut 5p,2011,AUTO,9777,2078641,100016,AUTAC04012011,100040003,001L6001,ACA003002,,AC004,120-005-01-2011,G0010004,10804,9353,9418,CACRD0011B
01010100401,ACURA,ACURA,RDX,RDX 2.3 L L4 IPC AUT 5 ABS CA CE PIEL CD CQ CB,RDX 2.3 L · L4 Aut 5p,2012,AUTO,9777,2078649,100016,AUTAC04012012,100040003,001L6001,ACA003002,,AC004,120-005-01-2012,G0010004,10804,9353,9418,CACRD0011C
01010100402,ACURA,ACURA,RDX,RDX 3.5 V6 IPC AUT 5 ABS CA CE PIEL CD QC CB,RDX 3.5 · V6 Aut 5p,2013,AUTO,9777,2078657,100017,AUTAC04022013,100040001,001L6002,ACA003003,,AC004,120-005-02-2013,G0010004,10816,10219,10990,CACRD0021D
01010100402,ACURA,ACURA,RDX,RDX 3.5 V6 IPC AUT 5 ABS CA CE PIEL CD QC CB,RDX 3.5 · V6 Aut 5p,2014,AUTO,8515,2073279,100017,AUTAC04022014,100040001,001L6002,ACA003003,,AC004,120-005-02-2014,G0010004,10816,10219,10990,CACRD0021E
01010100402,ACURA,ACURA,RDX,RDX 3.5 V6 IPC AUT 5 ABS CA CE PIEL CD QC CB,RDX 3.5 · V6 Aut 5p,2015,AUTO,8515,2087871,100017,AUTAC04022015,100040001,001L6002,ACA003003,,AC004,120-005-02-2015,G0010004,10816,10219,10990,CACRD0021F
01010100402,ACURA,ACURA,RDX,RDX 3.5 V6 IPC AUT 5 ABS CA CE PIEL CD QC CB,RDX 3.5 · V6 Aut 5p,2016,AUTO,8515,2084583,100018,AUTAC04022016,100040001,001L6002,ACA003003,,AC010,120-005-02-2016,G0010004,10816,10219,10990,CACRD0031G
01010100402,ACURA,ACURA,RDX,RDX 3.5 V6 IPC AUT 5 ABS CA CE PIEL CD QC CB,RDX 3.5 · V6 Aut 5p,2017,AUTO,379,2090334,100018,AUTAC04022017,100040001,001L6002,ACA003003,,AC010,120-005-02-2017,G0010004,10816,10219,10990,CACRD0031H
01010100402,ACURA,ACURA,RDX,RDX 3.5 V6 IPC AUT 5 ABS CA CE PIEL CD QC CB,RDX 3.5 · V6 Aut 5p,2018,AUTO,8515,2086663,100018,AUTAC04022018,100040001,001L6002,ACA003001,,AC010,120-005-02-2018,G0010004,10816,10219,10990,CACRD0031J
01010100406,ACURA,ACURA,RDX,RDX A-SPEC L4 IPC AUT 5 ABS CA CE PIEL SM QC CB,RDX A-SPEC · L4 Aut 5p,2019,AUTO,20002,2082948,100015,AUTAC04032019,100040002,001L6004,ACA003006,,AC019,120-005-04-2019,G0010020,10828,17744,71102715,CACRD0051K
01010100406,ACURA,ACURA,RDX,RDX A-SPEC L4 IPC AUT 5 ABS CA CE PIEL SM QC CB,RDX A-SPEC · L4 Aut 5p,2020,AUTO,20002,2000171,100015,AUTAC04032020,100040002,001L6004,ACA003006,,AC019,120-005-04-2020,G0010020,10828,17744,30958,CACRD0051L
01010100406,ACURA,ACURA,RDX,RDX A-SPEC L4 IPC AUT 5 ABS CA CE PIEL SM QC CB,RDX A-SPEC · L4 Aut 5p,2021,AUTO,20002,2127515,100015,AUTAC04032021,100040002,001L6004,ACA003008,,AC019,120-005-04-2021,G0010020,10828,17744,30958,CACRD0051M
01010100406,ACURA,ACURA,RDX,RDX A-SPEC L4 IPC AUT 5 ABS CA CE PIEL SM QC CB,RDX A-SPEC · L4 Iny.[?] Aut 5p · c/Quemac.,2022,AUTO,20002,2168013,100015,AUTAC04032022,100040005,001L6004,ACA003008,,AC019,120-005-04-2022,G0010020,10828,18824,30958,CACRD0051N
01010100406,ACURA,ACURA,RDX,RDX A-SPEC L4 IPC AUT 5 ABS CA CE PIEL SM QC CB,RDX A-SPEC · L4 Iny.[?] Aut 5p · c/Quemac.,2023,AUTO,20002,2169634,100015,AUTAC04032023,100040005,001L6004,ACA003008,,AC019,120-005-04-2023,G0010021,10828,18824,30958,CACRD0051P
01010100406,ACURA,ACURA,RDX,RDX A-SPEC L4 IPC AUT 5 ABS CA CE PIEL SM QC CB,RDX A-SPEC · L4 Iny.[?] Aut 5p · c/Quemac.,2024,AUTO,20002,2340832,100015,AUTAC04032024,100040005,001L6004,ACA003008,,AC019,120-005-04-2024,G0010021,10828,18824,71190542,CACRD0051R
01010100406,ACURA,ACURA,RDX,RDX A-SPEC L4 IPC AUT 5 ABS CA CE PIEL SM QC CB,RDX A-SPEC · L4 Iny.[?] Aut 5p · c/Quemac.,2025,AUTO,20002,2383331,100015,AUTAC04032025,100040002,001L6004,ACA003008,,AC019,120-005-04-2025,G0010021,10828,18824,30958,CACRD0051S
01010100406,ACURA,ACURA,RDX,RDX A-SPEC L4 IPC AUT 5 ABS CA CE PIEL SM QC CB,RDX A-SPEC · L4 Iny.[?] Aut 5p · c/Quemac.,2026,AUTO,20002,2391919,100015,AUTAC04032026,100040002,001L6004,ACA003008,,AC019,,G0010018,10828,18824,,CACRD0051T
01010100407,ACURA,ACURA,RDX,RDX ADVANCE L4 IMP AUT 5 ABS CA CE PIEL SM CQ CB,RDX ADVANCE · L4 Multipunto Aut 5p · c/Quemac.,2022,AUTO,20008,2168037,100014,AUTAC04052022,100040005,001L6005,ACA003010,,AC028,120-005-05-2022,G0010021,10837,18824,71190542,CACRD0061N
01010100407,ACURA,ACURA,RDX,RDX ADVANCE L4 IMP AUT 5 ABS CA CE PIEL SM CQ CB,RDX ADVANCE · L4 Multipunto Aut 5p · c/Quemac.,2023,AUTO,20008,2169635,100014,AUTAC04052023,100040005,001L6005,ACA003010,,AC028,120-005-05-2023,G0010021,10837,18824,71190542,CACRD0061P
